NUM_BLOCK,NUM_THREAD,TIME
60,16,0.0912010669708252
60,32,0.04554295539855957
60,48,0.03036999702453613
60,64,0.0227808952331543
60,80,0.01822900772094727
60,96,0.01520013809204102
60,112,0.01302695274353027
60,128,0.01140117645263672
60,144,0.01053500175476074
60,160,0.009485006332397461
120,16,0.0455329418182373
120,32,0.02277803421020508
120,48,0.01519298553466797
120,64,0.01140213012695312
120,80,0.009129047393798828
120,96,0.007610797882080078
120,112,0.006527900695800781
120,128,0.005716800689697266
120,144,0.005319118499755859
120,160,0.004790067672729492
180,16,0.03036403656005859
180,32,0.0151970386505127
180,48,0.01014304161071777
180,64,0.007609844207763672
180,80,0.006384134292602539
180,96,0.005325078964233398
180,112,0.004568815231323242
180,128,0.004004001617431641
180,144,0.003643035888671875
180,160,0.003279924392700195
240,16,0.02277803421020508
240,32,0.01140403747558594
240,48,0.007610797882080078
240,64,0.005715131759643555
240,80,0.004798173904418945
240,96,0.00400090217590332
240,112,0.003433942794799805
240,128,0.00300908088684082
240,144,0.002743005752563477
240,160,0.002472877502441406
300,16,0.01823115348815918
300,32,0.009128093719482422
300,48,0.006377220153808594
300,64,0.004794836044311523
300,80,0.003934144973754883
300,96,0.003282070159912109
300,112,0.002817869186401367
300,128,0.002470016479492188
300,144,0.002295017242431641
300,160,0.002074003219604492
360,16,0.01520705223083496
360,32,0.007619857788085938
360,48,0.005323886871337891
360,64,0.004003047943115234
360,80,0.003297090530395508
360,96,0.002753973007202148
360,112,0.002359867095947266
360,128,0.002081155776977539
360,144,0.001935005187988281
360,160,0.001745939254760742
420,16,0.01303982734680176
420,32,0.006531953811645508
420,48,0.00457000732421875
420,64,0.003434896469116211
420,80,0.002818822860717773
420,96,0.002363920211791992
420,112,0.002114057540893555
420,128,0.001863002777099609
420,144,0.001788854598999023
420,160,0.001626014709472656
600,16,0.009428024291992188
600,32,0.004805088043212891
600,48,0.003284931182861328
600,64,0.002476215362548828
600,80,0.002071857452392578
600,96,0.00173497200012207
600,112,0.001611948013305664
600,128,0.001429080963134766
600,144,0.001603126525878906
600,160,0.001457929611206055
